Place,Category,Locaiton,Rating,Awards,Been more than once,Date visidted,Comments
Spitalfields,Gastropub,D8,10,Bib Gourmand,,,
Amy Austin,Modern European,Drury Street,10,Bib Gourmand,,,
Forest Avenue,European,D4,10,1 Michelin star,yes,,
Grano,Italian,Stoneybatter,10,Michelin listed,yes,,best italian in Dublin
Host,Italian,Ranelagh,10,Michelin listed,,,great value set menu
Matsukawa,Japanese,Smithfield,10,Michelin listed,,,omakase
Pickle,Indian,Camden Street,10,Michelin listed,yes,,best Indian in Dublin
The Old Spot,Gastropub,D4,10,Michelin listed,yes,,
Admiral,Eastern European,D1,10,,yes,,broadly eastern european
Crudo,Italian,Sandymount,10,,,,solid second-place Itialian
Daruma,Japanese,South City Center,10,,,,great izakaya
Fish Shop,Fish & Chips,Smithfield,10,,,,best fish and chips
Kodiak,Pizza,Rathmines,10,,yes,,pizza and beer
Las Tapas de Lola,Tapas,Camden Street,10,,,,
Lee’s Charming Noodles,Chinese,D1,10,,,,best noodles
Sea Shanty,Seafood,Blackrock,10,,,,hidden gem
Seafood Cafe,Seafood,Temple Bar,10,,,,great seafood
Tacos Lupillo,Mexican,Inchicore,10,,,,best tacos
Wallace's Asti,Italian,Drumcondra,10,,,,
Matt the Thrasher,Seafood,D2,10,,,,
Shouk,Middle-eastern,Drumcondra,10,,,,
Honest to Goodness,Cafe,Liberties,10,,,,
Bar Pez,Tapas and wine,Camden Street,10,,,29/03/2026,
Bastible,European,D8,9,1 Michelin star,,,
Bigfan,Asian Fusion,Aungier Street,9,Michelin listed,yes,,asian small plates
Mae,European,D4,9,Michelin listed,,,set menu
Uno Mas,Spanish,Aungier Street,9,Michelin listed,,,
Gravediggers,Irish,Glasnevin,9,,,,
La Maison,French,South City Center,9,,yes,,
Jehan's Heaven,Caucasian,Talbot Street,9,,,,
Bar Italia,Italian,North City Center,9,,yes,,
Bonobo,Beer and pizza,Smithfield,9,,,,
Bunsen,Burgers,Multiple locations,9,,yes,,
Chimac,Korean,Aungier Street,9,,,,korean fried chicken
chiya,Kebab,South City Center,9,,,,berlin-style döner kebab
Ella’s Heaven,Georgian,Talbot Street,9,,yes,,khinkali
Fidelity/Sister 7,Asian Fusion,Smithfield,9,,,,
Hawksmoor,Steak,South City Center,9,,,,great for an occasion
Mani,Pizza,Drury Street,9,,yes,,pizza by slice
Nomo,Ramen,Camden Street,9,,,,best ramen in Dublin
Paulies Pizza,Pizza,D4,9,,,,
Space Jaru,Korean,Liberties,9,,yes,,great value korean
Sprout,Salads,Multiple locations,9,,,,
Vice Pizza,Pizza,D2,9,,,,
Yang Guo Fu Malatang,Chinese,Talbot Street,9,,yes,,malatang!
Nutbutter,Bowls and salads,Multiple locations,9,,,,
Bosh Burgers,Burgers,D1,9,,,,
BuJo,Burgers,Sandymount,8,,,,
Allta,European,Grand Canal Docks,8,Michelin listed,,,
Ichiwa,Japanese,IFSC,8,,,,
Waterloo,Pub,Baggot Street,8,,,,great quality pub food
Afanti,Middle Asian,D1,8,,,,uyghur restaurant
Berliner Kebab,Kebab,Camden Street,8,,,,
Aobaba,Vietnamese,Capel Street,8,,,,cash only!
Dash Burger,Burgers,Multiple locations,8,,,,
Doom Slice,Pizza,South City Center,8,,,,
Foret,French,D4,8,,,,
Georgian Delight,Georgian,D1,8,,yes,,
Goose on the Loose,Eastern European,D8,8,,,,bliny
Hangdai,Chinese,Camden Street,8,,,,
King Citric,Seafood,Howth,8,,,,
Kyodai Izakaya,Japanese,North City Center,8,,,,
Little Kitchen,European,D4,8,,,,
Musashi,Japanese,Multiple locations,8,,,,
Nightmarket,Thai,Ranelagh,8,,,,
One Society,Brunch,D1,8,,,,
PI,Pizza,South City Center,8,,,,
Rascals,Pizza,Inchicore,8,,,,pizza and craft beer
Reyna,Kebab,,8,,,,
Sandymount House,Pub,Sandymount,8,,,,
Searsons,Pub,Baggot Street,8,,,,
Shaku Maku,Middle Eastern,Rathmines,8,,,,
Tang,Middle Eastern,Multiple locations,8,,,,
Umi Falafel,Falafel,Multiple locations,8,,,,
Xi’an Street Food,Chinese,Multiple locations,8,,,,
YOI Izakaya,Japanese,Mespil Road,8,,,,
Zaytoon,Shwarma,Multiple locations,8,,,,
Achara,Thai,D2,8,,,,
Storyteller,Pub,D2,8,,,,
Nutbutter,Bowls,Multiple locations ,8,,,,
Lucy,Ukrainian,D8,8,,,,
Olesya's,Wine bar and bistro,South City Center,7,,,,
The Dropping Well,Gastropub,Milltown,7,,,,
Let Petit Breton,Crepes,Drumcondra,7,,,,
Lottie’s,French,Rathmines,7,Bib Gourmand,,,
Bao Bun,Asian,Aungier Street,7,Michelin listed,,,
Jean-Georges at the Lannister,European,D2,7,,,,
The Pepper Pot,Cafe,South City Center,7,,,,
Arthur Mayne’s,Pub,Donnybrook,7,,,,
As One,Brunch,D2,7,,,,
Bambino,Pizza,South City Center,7,,,,overrated
Brother Hubbard,Brunch,Multiple locations,7,,,,
Daata,Indian,Multiple locations,7,,,,
Doolally,Indian,Camden Street,7,,,,
Eatokyo,Japanese,,7,,,,
Gursha,African,South City Center,7,,,,
Handsome Burger,Burgers,South City Center,7,,,,
Happy Out,Brunch,Donnybrook,7,,,,
Il Fornaio,Italian,IFSC,7,,,,
Krewe,Burgers,Capel Street,7,,,,
Merrion Inn,Gastropub,Merrion,7,,,,
Port House Pintxo,Spanish,South City Center,7,,,,
Quack’n’Wok,Chinese takeaway,IFSC,7,,,,"my local chinese, solid"
Siam Thai,Thai,Dundrum,7,,,,
Takara,Japanese,North city center,7,,,,
The Morehampton,Gastropub,Donnybrook,7,,,,
The Winding Stair,Irish,North City Center,7,,,,
Tula,Mexican,Multiple locations,7,,,,
White Rabbit,Korean,Capel Street,7,,,,korean street food
Zaatar,Middle Eastern,,7,,,,
The Waterbank,Gastropub,Grand Canal Dock,7,,,,
Moss Lane,Gastropub,D2,7,,,,Decent pub serving italian food
Parmezza,Italian,D1,7,,,,
Harbourmaster,Pub,IFSC,7,,,,
Chai-Yo,Teppanyaki,D2,7,,,,
Urban Brewing,Tapas,IFSC,7,,,,
Bald Eagle,Pub,Phibsborough,7,,,21/03/2026,
Yakiniku Matsukawa,Japanese,IFSC,7,,,21/02/2026,
Akaka Poke,Poke,Multiple locations,6,,,,
Dada,Moroccan,South City Center,6,,,,
Hartley’s,European,,6,,,,
Layla’s Rooftop,European,Ranelagh,6,,,,
Pronto,Italian,,6,,,,
Ryleight’s Rooftop Steakhouse,Steak,North Wall,6,,,,
Salsa,Mexican,Multiple locations,6,,,,
Turkish Kebab House,Kebab,D1,6,,,,
Rocket's,Burgers,Multiple locations,6,,,,
Drunken Fish,Korean,IFSC,6,,,,
Hairy Lemon,Pub,,6,,,,
Brassery Sixty6,French,,5,,,,
Brewdog,Craft beer,Grand Canal Dock,5,,,,
Wetherspoons,Bar,Multiple locations,5,,,,
